node,mean,sd,MC error,2.50%,median,97.50%,start,sample
"delta.centred[20,5]",-0.04081,0.01822,1.50E-04,-0.07642,-0.04081,-0.005121,15001,40000
"delta.centred[20,6]",-0.1043,0.01732,1.44E-04,-0.1381,-0.1042,-0.07076,15001,40000
"delta.centred[20,7]",-0.05355,0.01599,1.29E-04,-0.08489,-0.05345,-0.02214,15001,40000
"delta.centred[20,8]",-0.07079,0.01588,1.34E-04,-0.1023,-0.07069,-0.03978,15001,40000
"delta.centred[20,9]",-0.01125,0.01531,1.30E-04,-0.04129,-0.01125,0.01882,15001,40000
"delta.centred[20,10]",0.04772,0.01479,1.32E-04,0.01874,0.04779,0.07669,15001,40000
"delta.centred[20,11]",0.0578,0.01425,1.13E-04,0.02968,0.05779,0.08582,15001,40000
"delta.centred[20,12]",0.05011,0.0153,1.20E-04,0.01963,0.05021,0.07991,15001,40000
"delta.centred[21,1]",-0.05973,0.009554,7.00E-05,-0.07855,-0.05967,-0.04124,15001,40000
"delta.centred[21,2]",-0.08123,0.009225,7.53E-05,-0.09948,-0.08118,-0.06333,15001,40000
"delta.centred[21,3]",0.06873,0.01119,8.39E-05,0.04666,0.06876,0.09048,15001,40000
"delta.centred[21,4]",0.05418,0.01122,8.24E-05,0.03228,0.05415,0.07606,15001,40000
"delta.centred[21,5]",0.0614,0.01128,8.35E-05,0.03955,0.06131,0.08378,15001,40000
"delta.centred[21,6]",0.08071,0.01026,7.83E-05,0.06053,0.08078,0.1007,15001,40000
"delta.centred[21,7]",0.06677,0.009643,7.41E-05,0.0478,0.06674,0.08588,15001,40000
"delta.centred[21,8]",0.02278,0.009649,7.86E-05,0.00396,0.02274,0.04178,15001,40000
"delta.centred[21,9]",-0.01441,0.009488,7.44E-05,-0.03319,-0.0144,0.004231,15001,40000
"delta.centred[21,10]",-0.0607,0.00962,6.93E-05,-0.07949,-0.06073,-0.04199,15001,40000
"delta.centred[21,11]",-0.05497,0.009361,7.69E-05,-0.07344,-0.05485,-0.03671,15001,40000
"delta.centred[21,12]",-0.08354,0.009755,7.81E-05,-0.1025,-0.08353,-0.06439,15001,40000
"delta.centred[22,1]",-0.06904,0.01033,8.37E-05,-0.08951,-0.06897,-0.04879,15001,40000
"delta.centred[22,2]",-0.04225,0.009874,7.10E-05,-0.06166,-0.04216,-0.02317,15001,40000
"delta.centred[22,3]",0.0833,0.0122,9.54E-05,0.0592,0.08335,0.107,15001,40000
"delta.centred[22,4]",0.02879,0.01245,9.85E-05,0.004134,0.02886,0.05287,15001,40000
"delta.centred[22,5]",0.05599,0.01246,1.05E-04,0.03132,0.05602,0.08028,15001,40000
"delta.centred[22,6]",0.002312,0.01159,8.38E-05,-0.0201,0.002295,0.02506,15001,40000
"delta.centred[22,7]",0.01065,0.01093,8.42E-05,-0.01081,0.01076,0.03203,15001,40000
"delta.centred[22,8]",0.001233,0.01065,8.54E-05,-0.0196,0.001268,0.02203,15001,40000
"delta.centred[22,9]",-0.0128,0.01043,8.22E-05,-0.03312,-0.01283,0.007669,15001,40000
"delta.centred[22,10]",-0.05147,0.01041,7.78E-05,-0.07219,-0.05146,-0.03129,15001,40000
"delta.centred[22,11]",-3.01E-04,0.01007,7.38E-05,-0.02021,-2.60E-04,0.0193,15001,40000
"delta.centred[22,12]",-0.006408,0.01016,7.72E-05,-0.02634,-0.006373,0.01355,15001,40000
"delta.centred[23,1]",0.02296,0.01392,1.11E-04,-0.004365,0.02315,0.04998,15001,40000
"delta.centred[23,2]",0.01814,0.01299,1.09E-04,-0.007318,0.01811,0.04359,15001,40000
"delta.centred[23,3]",-0.04288,0.01638,1.39E-04,-0.07558,-0.04281,-0.01091,15001,40000
"delta.centred[23,4]",-0.02603,0.01623,1.30E-04,-0.05838,-0.02587,0.00551,15001,40000
"delta.centred[23,5]",-0.04298,0.01661,1.45E-04,-0.07572,-0.043,-0.01068,15001,40000
"delta.centred[23,6]",-0.04412,0.01526,1.26E-04,-0.07407,-0.04422,-0.01402,15001,40000
"delta.centred[23,7]",0.02394,0.01424,1.09E-04,-0.004151,0.02402,0.05166,15001,40000
"delta.centred[23,8]",0.003047,0.0142,1.11E-04,-0.02466,0.00307,0.03068,15001,40000
"delta.centred[23,9]",0.01561,0.01379,1.22E-04,-0.01168,0.01569,0.04238,15001,40000
"delta.centred[23,10]",-0.007929,0.01362,1.12E-04,-0.03474,-0.008033,0.01877,15001,40000
"delta.centred[23,11]",0.01655,0.01334,1.14E-04,-0.009871,0.01657,0.04218,15001,40000
"delta.centred[23,12]",0.0637,0.01387,1.16E-04,0.0367,0.0637,0.09059,15001,40000
"delta.centred[24,1]",-0.01534,0.009334,7.22E-05,-0.03384,-0.01533,0.003092,15001,40000
"delta.centred[24,2]",-0.02457,0.009102,7.02E-05,-0.04217,-0.02459,-0.00669,15001,40000
"delta.centred[24,3]",-0.02304,0.01159,9.70E-05,-0.04571,-0.02304,-2.91E-04,15001,40000
"delta.centred[24,4]",0.04987,0.01123,8.70E-05,0.02784,0.04988,0.07174,15001,40000
"delta.centred[24,5]",0.03412,0.01149,9.00E-05,0.01154,0.03418,0.05669,15001,40000
"delta.centred[24,6]",0.03857,0.01048,8.34E-05,0.01785,0.03861,0.05911,15001,40000
"delta.centred[24,7]",0.03017,0.009955,8.02E-05,0.01075,0.03015,0.04972,15001,40000
"delta.centred[24,8]",0.002459,0.009813,8.10E-05,-0.01686,0.002443,0.02174,15001,40000
"delta.centred[24,9]",0.005324,0.009614,7.51E-05,-0.01345,0.005355,0.0241,15001,40000
"delta.centred[24,10]",-0.01377,0.009406,6.63E-05,-0.03223,-0.0138,0.004722,15001,40000
